Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Added to bom,note
C1,1,100u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,yes,ceramic
"C2,C15,C17,C34,C35,C36,C37",7,10u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,yes,"ceramic, for VDD pin on haptic drivers"
"C3,C7",2,1uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
"C4,C5,C11,C13,C16,C18,C39,C40,C44,C46,C49,C51",12,100n,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C6,1,10uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
"C8,C9",2,0.1uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
"C10,C12,C14,C24,C26",5,1u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
"C19,C20,C21,C22,C23,C25,C31,C41,C53,C59",10,0.1u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C27,1,68u,,,,EXT_AI_DEPUTY_Library:T520D,https://www.mouser.dk/datasheet/3/508/1/KEM_T2076_T52X_530.pdf,,
"C28,C30",2,0.01u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C29,1,82p,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C32,1,22nF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C33,1,150u,,,,EXT_AI_DEPUTY_Library:SX_Package,https://www.farnell.com/datasheets/4379350.pdf,,
"C38,C45,C47,C48,C50",5,4u7,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
"C42,C52,C58",3,10u,,,,Capacitor_SMD:CP_Elec_4x5.4,~,,
"C54,C55",2,2.2u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
"C56,C57",2,2.2n,,,,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,~,,
"D1,D3",2,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,
D2,1,MBRS540T3G,,,,EXT_AI_DEPUTY_Library:DIOM7958X256N,https://www.onsemi.com/pub/Collateral/MBRS540T3-D.PDF,,
IC1,1,DA7280-00FVC,,,,EXT_AI_DEPUTY_Library:QFN65P300X300X84-12N,https://www.dialog-semiconductor.com/sites/default/files/da7280_datasheet_3v0.pdf,,
IC2,1,DA7281-00FVC,,,,EXT_AI_DEPUTY_Library:QFN65P300X300X84-12N,https://www.dialog-semiconductor.com/sites/default/files/da7280_datasheet_3v0.pdf,,
IC3,1,DA7282-00FVC,,,,EXT_AI_DEPUTY_Library:QFN65P300X300X84-12N,https://www.dialog-semiconductor.com/sites/default/files/da7280_datasheet_3v0.pdf,,
"IC4,IC5",2,IS31AP2005-SLS2-TR,,,,EXT_AI_DEPUTY_Library:SOP65P490X110-8N,https://www.lumissil.com/assets/pdf/core/IS31AP2005_DS.pdf,,
IC6,1,LM25576QMH_NOPB,,,,EXT_AI_DEPUTY_Library:SOP65P640X110-21N,http://www.ti.com/lit/gpn/lm25576-q1,,
IC7,1,CYPD3177-24LQXQ,,,,EXT_AI_DEPUTY_Library:QFN50P400X400X60-25N-D,https://www.mouser.co.uk/datasheet/3/70/1/Infineon_EZ_PD_BCR_Datasheet_USB_Type_C_Port_Controller_for_Power_Sinks_DataSheet_v03_00_EN.pdf,,
IC8,1,FT231XS-R,,,,EXT_AI_DEPUTY_Library:SOP64P599X175-20N,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/824938d1687833d6997706543241551a.pdf,,
IC9,1,PCM5102APWR,,,,SOP65P640X120-20N,https://componentsearchengine.com/Datasheets/2/PCM5102APWR.pdf,,
J1,1,Piezo Electric,,,,Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,~,,
J2,1,2171790001,,,,EXT_AI_DEPUTY_Library:MOLEX_2171790001,,,
"J3,J12",2,Haptic Power and GND,,,,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,~,,
J4,1,UART,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,
"J5,J7",2,JST CONN from MCU,,,,Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,~,,
J6,1,JTAG,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~,,
J8,1,Conn_01x04_Socket,,,,Connector_JST:JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,~,,
J9,1,OUTPUT Haptic A (Neck L),,,,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,~,,
J10,1,OUTPUT Haptic B (Neck R),,,,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,~,,
J11,1,OUTPUT Haptic C (Back),,,,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,~,,
"J13,J14",2,Conn_01x02_Socket,,,,Connector_JST:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,~,,
J15,1,Conn_01x04_Socket,,,,Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,~,,
"J16,J17",2,Conn_01x01_Pin,,,,TestPoint:TestPoint_Pad_4.0x4.0mm,~,,
J18,1,Conn_01x03_Socket,,,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,
L1,1,220u,,,,,~,,
L2,1,8.2u,,,,EXT_AI_DEPUTY_Library:INDPM7166X300N,https://docs.rs-online.com/542b/A700000008249143.pdf,,
Q1,1,NMOS,,,,Package_TO_SOT_SMD:TO-252-3_TabPin2,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs,,
"Q2,Q4",2,DMP3098LSD-13,,,,EXT_AI_DEPUTY_Library:SOIC127P600X175-8N,https://www.diodes.com//assets/Datasheets/ds31448.pdf,,
"R1,R5,R6,R34",4,4.7k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
"R2,R4,R7,R8,R16,R41",6,10k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R3,1,R,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
"R9,R10,R11,R12",4,150k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
"R13,R14,R39,R40",4,100k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R15,1,49.9k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
